"unidade_ensino","modalidade_ensino","tipo_curso","tipo_oferta","Ano","Status_Matricula","Quantidade"
"CBRA","Educação a Distancia","FORMACAO CONTINUADA","Outros","2009","matriculado",0
"CBRA","Educação a Distancia","FORMACAO INICIAL","Concomitante","2009","matriculado",0
"CBRA","Educação a Distancia","TÉCNICO","Subsequente","2009","matriculado",0
"CBRA","Educação Presencial","ESPECIALIZACAO (LATO SENSU)","Outros","2009","matriculado",1
"CBRA","Educação Presencial","FORMACAO CONTINUADA","Outros","2009","matriculado",0
"CBRA","Educação Presencial","FORMACAO INICIAL","Outros","2009","matriculado",0
"CBRA","Educação Presencial","FORMACAO INICIAL","Subsequente","2009","matriculado",0
"CBRA","Educação Presencial","LICENCIATURA","Outros","2009","matriculado",0
"CBRA","Educação Presencial","MESTRADO PROFISSIONAL","Outros","2009","matriculado",0
"CBRA","Educação Presencial","TÉCNICO","Concomitante","2009","matriculado",0
"CBRA","Educação Presencial","TÉCNICO","Integrado","2009","matriculado",0
"CBRA","Educação Presencial","TÉCNICO","Subsequente","2009","matriculado",0
"CBRA","Educação Presencial","TECNOLOGIA","Outros","2009","matriculado",0
"CCEI","Educação a Distancia","FORMACAO CONTINUADA","Outros","2009","matriculado",0
"CCEI","Educação a Distancia","TÉCNICO","Subsequente","2009","matriculado",0
"CCEI","Educação Presencial","FORMACAO CONTINUADA","Outros","2009","matriculado",0
"CCEI","Educação Presencial","FORMACAO CONTINUADA","Subsequente","2009","matriculado",0
"CCEI","Educação Presencial","LICENCIATURA","Outros","2009","matriculado",0
"CCEI","Educação Presencial","TÉCNICO","Integrado","2009","matriculado",0
"CCEI","Educação Presencial","TÉCNICO","Subsequente","2009","matriculado",0
"CCEI","Todos","ESPECIALIZACAO (LATO SENSU)","Outros","2009","matriculado",0
"CEST","Educação Presencial","FORMACAO CONTINUADA","Concomitante","2009","matriculado",0
"CEST","Educação Presencial","FORMACAO CONTINUADA","Outros","2009","matriculado",0
"CEST","Educação Presencial","FORMACAO CONTINUADA","Subsequente","2009","matriculado",0
"CEST","Educação Presencial","FORMACAO INICIAL","Outros","2009","matriculado",0
"CEST","Educação Presencial","FORMACAO INICIAL","Subsequente","2009","matriculado",0
"CEST","Educação Presencial","LICENCIATURA","Outros","2009","matriculado",0
"CEST","Educação Presencial","TÉCNICO","Integrado","2009","matriculado",0
"CEST","Educação Presencial","TÉCNICO","PROEJA - Integrado","2009","matriculado",0
"CEST","Educação Presencial","TÉCNICO","Subsequente","2009","matriculado",0
"CGAM","Educação a Distancia","TÉCNICO","Subsequente","2009","matriculado",0
